url,res_code,content_type,res_time
iizuka.cs.tsukuba.ac.jp,200,text/html,0.093832s
image-gis.ccs.tsukuba.ac.jp,200,text/html,0.231744s
info.u.tsukuba.ac.jp,200,text/html,0.135149s
inforg.slis.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.206567s
iris.slis.tsukuba.ac.jp,200,text/html,0.139784s
japan.tsukuba.ac.jp,200,text/html,0.612319s
jj.biol.tsukuba.ac.jp,200,text/html,0.062815s
johokokai2.sec.tsukuba.ac.jp,200,text/html,0.074081s
jp-ex.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.741452s
kamelab.kz.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.257344s
kanagawa.kz.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.893112s
kanamori.cs.tsukuba.ac.jp,200,text/html,0.106623s
kankyo.envr.tsukuba.ac.jp,200,text/html,0.101694s
kankyo3.envr.tsukuba.ac.jp,200,text/html,0.208829s
kanto-kokusai-ganpro.md.tsukuba.ac.jp,200,text/html; charset=UTF-8,1.423029s
kc.tsukuba.ac.jp,200,text/html,0.094809s
kde.cs.tsukuba.ac.jp,200,text/html,0.216069s
kiban.md.tsukuba.ac.jp,200,text/html,0.042634s
kousaku.kou-c.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.225400s
kt-b1-mac1.tara.tsukuba.ac.jp,200,text/html,0.086950s
kurihama.tsukuba.ac.jp,200,text/html,0.097213s
kurofune.shimoda.tsukuba.ac.jp,200,text/html,0.100687s
lacsis.risk.tsukuba.ac.jp,200,text/html,0.095654s
land.geo.tsukuba.ac.jp,200,text/html,0.285423s
laplace.md.tsukuba.ac.jp,200,text/html,0.102299s
lasbim.taiiku.tsukuba.ac.jp,200,text/html,0.106121s
life.slis.tsukuba.ac.jp,200,text/html,0.072581s
live1.sohosai.tsukuba.ac.jp,200,text/html,0.091102s
lyric.slis.tsukuba.ac.jp,200,text/html,0.080814s
mail.md.tsukuba.ac.jp,200,text/html,0.089661s
mail.taiiku.tsukuba.ac.jp,200,text/html,0.081496s
mas.cs.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.544710s
math-info.criced.tsukuba.ac.jp,200,text/html,0.111548s
md.tsukuba.ac.jp,200,text/html,0.146921s
meso1.ph.tsukuba.ac.jp,200,text/html,0.147986s
mike.md.tsukuba.ac.jp,200,text/html,0.140520s
mind.slis.tsukuba.ac.jp,200,text/html; charset=utf-8,0.113976s
mint.slis.tsukuba.ac.jp,200,text/html,0.169764s
mint0-w.elementary-s.tsukuba.ac.jp,200,text/html,0.333414s
mirai.biol.tsukuba.ac.jp,200,text/html,0.067527s
mizz.cs.tsukuba.ac.jp,200,text/html,0.063164s
ml.cc.tsukuba.ac.jp,200,text/html,0.068211s
ml.gene.tsukuba.ac.jp,200,text/html,0.103862s
ml.md.tsukuba.ac.jp,200,text/html,0.077131s
ml.taiiku.tsukuba.ac.jp,200,text/html,0.078622s
mx.biol.tsukuba.ac.jp,200,text/html,0.066844s
mx.gene.tsukuba.ac.jp,200,text/html,0.065235s
mx2.biol.tsukuba.ac.jp,200,text/html,0.071786s
nlp.iit.tsukuba.ac.jp,200,text/html,0.105389s
nourin.tsukuba.ac.jp,200,text/html,0.103076s
nourin1.nourin.tsukuba.ac.jp,200,text/html,0.074774s
npal.cs.tsukuba.ac.jp,200,text/html,0.733421s
npalgpu01.cs.tsukuba.ac.jp,200,text/html,0.082698s
ns.biol.tsukuba.ac.jp,200,text/html,0.068081s
ns.gene.tsukuba.ac.jp,200,text/html,0.237180s
ns.life.tsukuba.ac.jp,200,text/html,0.086437s
nsfb.tsukuba.ac.jp,200,text/html,0.151290s
nslab.slis.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.377259s
nslab2.slis.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.310306s
nsx.gene.tsukuba.ac.jp,200,text/html,0.083903s
oneteam.md.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.080233s
otsuka.tsukuba.ac.jp,200,text/html,0.164596s
pdca.esys.tsukuba.ac.jp,200,text/html,0.075847s
pe.ska.life.tsukuba.ac.jp,200,text/html,0.147218s
pehss.taiiku.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.367168s
pen.envr.tsukuba.ac.jp,200,text/html,0.126029s
penguin1.cs.tsukuba.ac.jp,200,text/html,0.116737s
pepp-cepgt.hass.tsukuba.ac.jp,200,text/html; charset=UTF-8,1.588109s
photo.cc.tsukuba.ac.jp,200,text/html,0.094688s
pj2video.md.tsukuba.ac.jp,200,text/html,0.074695s
pj2web.md.tsukuba.ac.jp,200,text/html,0.086264s
plesk01.cc.tsukuba.ac.jp,200,text/html,0.105400s
pop.biol.tsukuba.ac.jp,200,text/html,0.066564s
pop.gene.tsukuba.ac.jp,200,text/html,0.061118s
pop.md.tsukuba.ac.jp,200,text/html,0.074851s
popeye.sapec.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.461746s
psysepta.md.tsukuba.ac.jp,200,text/html,0.197725s
pub.logos.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.310742s
raise.suiri.tsukuba.ac.jp,200,text/html,0.078956s
rcwasia.hass.tsukuba.ac.jp,200,text/html,0.086717s
regist.biol.tsukuba.ac.jp,200,text/html,0.072020s
researchstudio.md.tsukuba.ac.jp,200,text/html,0.081946s
rhodia.ph.tsukuba.ac.jp,200,text/html,0.080449s
rilke.sk.tsukuba.ac.jp,200,text/html,0.079109s
risk.tsukuba.ac.jp,200,text/html,0.118685s
roboken-gw.iit.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.074032s
rs.gssm.otsuka.tsukuba.ac.jp,200,text/html,0.092078s
saggymouse.tara.tsukuba.ac.jp,200,text/html; charset=UTF-8,1.229479s
shakai.tsukuba.ac.jp,200,text/html,0.099903s
shisetsu.sec.tsukuba.ac.jp,200,text/html,0.123694s
slis.tsukuba.ac.jp,200,text/html,0.120192s
smt.aclab.esys.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.241975s
snas.md.tsukuba.ac.jp,200,text/html,0.086284s
soft.risk.tsukuba.ac.jp,200,text/html,0.064964s
softether11.cc.tsukuba.ac.jp,200,text/html; charset=utf-8,0.489548s
softether14.cc.tsukuba.ac.jp,200,text/plain,0.076567s
softether2.cc.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.074102s
softether5.cc.tsukuba.ac.jp,200,video/x-ms-asf,0.087312s
sp.sk.tsukuba.ac.jp,200,text/html,0.071870s
spl.kz.tsukuba.ac.jp,200,text/html,0.088707s
sports.taiiku.tsukuba.ac.jp,200,text/html,0.126868s
sse.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.213570s
sv.emp.tsukuba.ac.jp,200,text/html,0.277366s
syou.cs.tsukuba.ac.jp,200,text/html,0.115894s
syssec.cs.tsukuba.ac.jp,200,text/html,0.078979s
taigei.sec.tsukuba.ac.jp,200,text/html,0.145682s
taiiku.otsuka.tsukuba.ac.jp,200,text/html,0.101628s
tech.tsukuba.ac.jp,200,text/html,0.109700s
thetis.ph.tsukuba.ac.jp,200,text/html,0.077590s
tias.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.241485s
tommorow.slis.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.153632s
tomonaga.tsukuba.ac.jp,200,text/html,0.112335s
top.cs.tsukuba.ac.jp,200,text/html,0.072246s
tsa.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.346579s
tsnr01.cc.tsukuba.ac.jp,200,text/html,0.069202s
ttbj1.cegloc.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.151205s
ttweb.sec.tsukuba.ac.jp,200,text/html,0.098926s
turkey.slis.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.065001s
underground.slis.tsukuba.ac.jp,200,text/html,0.069945s
update.cc.tsukuba.ac.jp,200,text/html,0.122506s
urade.wpi-iiis.tsukuba.ac.jp,200,text/html,0.160103s
utkhii.px.tsukuba.ac.jp,200,text/html,0.056409s
viola5.coins.tsukuba.ac.jp,200,text/html,0.054847s
vls-svr.ecloud.tsukuba.ac.jp,200,video/x-ms-asf,0.139852s
vmlab.kz.tsukuba.ac.jp,200,text/html,0.106395s
vod1.ecloud.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.101926s
vod2.ecloud.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.194273s
wakapc.aclab.esys.tsukuba.ac.jp,200,text/html,0.138453s
web.prc.tsukuba.ac.jp,200,text/html,0.047767s
webmail.biol.tsukuba.ac.jp,200,text/html,0.061715s
webmail.gene.tsukuba.ac.jp,200,text/html,0.071554s
websci.cs.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.202271s
whs.cc.tsukuba.ac.jp,200,text/html,0.074206s
www.ai.iit.tsukuba.ac.jp,200,text/html,0.180661s
www.art.tsukuba.ac.jp,200,text/html; charset=UTF-8,2.001131s
www.bio.aclab.esys.tsukuba.ac.jp,200,text/html,1.130471s
www.bk.tsukuba.ac.jp,200,text/html; charset=utf-8,0.168562s
www.cegloc.tsukuba.ac.jp,200,text/html,0.089658s
www.chaos.cs.tsukuba.ac.jp,200,text/html,0.269246s
www.chiiki.tsukuba.ac.jp,200,text/html,0.133399s
www.coins.tsukuba.ac.jp,200,text/html,0.177273s
www.comm.aclab.esys.tsukuba.ac.jp,200,text/html; charset=UTF-8,1.138888s
www.conservation.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.281729s
www.css.risk.tsukuba.ac.jp,200,text/html,0.060278s
www.darwin.esys.tsukuba.ac.jp,200,text/html; charset=utf-8,0.538395s
www.eis.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.723159s
www.elementary-s.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.300007s
www.envr.tsukuba.ac.jp,200,text/html,0.317267s
www.fbs.otsuka.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.483044s
www.gakko.otsuka.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.204614s
www.geoenv.tsukuba.ac.jp,200,text/html,0.083828s
www.gip.tsukuba.ac.jp,200,text/html,0.202815s
www.global.tsukuba.ac.jp,200,text/html; charset=utf-8,0.214685s
www.gsbs.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.306362s
www.gssm.gsbs.tsukuba.ac.jp,200,text/html,0.096355s
www.gssm.otsuka.tsukuba.ac.jp,200,text/html,0.116703s
www.hcs.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.188280s
www.hibun.tsukuba.ac.jp,200,text/html,0.094369s
www.high-s.tsukuba.ac.jp,200,text/html,0.109617s
www.hosp.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.528841s
www.human.tsukuba.ac.jp,200,text/html; charset=UTF-8,1.123863s
www.ied.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.226316s
www.iit.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.475635s
www.kansei.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.298910s
www.kc.tsukuba.ac.jp,200,text/html,0.092837s
www.kde.cs.tsukuba.ac.jp,200,text/html,0.101122s
www.kurihama.tsukuba.ac.jp,200,text/html,0.098834s
www.kyouiku.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.212539s
www.kz.tsukuba.ac.jp,200,text/html,0.165097s
www.lingua.tsukuba.ac.jp,200,text/html,0.096431s
www.logos.tsukuba.ac.jp,200,text/html,0.095246s
www.mast.tsukuba.ac.jp,200,text/html,0.129727s
www.materials.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.415432s
www.mbaib.gsbs.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.151444s
www.md.tsukuba.ac.jp,200,text/html,0.139884s
www.mibel.cs.tsukuba.ac.jp,200,text/html,0.076918s
www.modernlc.tsukuba.ac.jp,200,text/html,0.103230s
www.nature.tsukuba.ac.jp,200,text/html,0.109572s
www.netlab.cs.tsukuba.ac.jp,200,text/html,0.093624s
www.nlp.mibel.cs.tsukuba.ac.jp,200,text/html,0.091676s
www.nourin.tsukuba.ac.jp,200,text/html,0.096389s
www.npal.cs.tsukuba.ac.jp,200,text/html,0.138436s
www.nsfb.tsukuba.ac.jp,200,text/html,0.121509s
www.otsuka-s.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.144623s
www.photo.cc.tsukuba.ac.jp,200,text/html,0.072936s
www.prc.tsukuba.ac.jp,200,text/html,0.189119s
www.px.tsukuba.ac.jp,200,text/html,0.099264s
www.rcbjsf.ims.tsukuba.ac.jp,200,text/html,0.132605s
www.rcus.tsukuba.ac.jp,200,text/html,0.074027s
www.risk.tsukuba.ac.jp,200,text/html,0.073509s
www.sakado-s.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.268848s
www.sapec.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.375269s
www.shimoda.tsukuba.ac.jp,200,text/html,0.102639s
www.slis.tsukuba.ac.jp,200,text/html,0.094851s
www.softlab.cs.tsukuba.ac.jp,200,text/html,0.114970s
www.stb.tsukuba.ac.jp,200,text/html,0.218632s
www.syssec.cs.tsukuba.ac.jp,200,text/html,0.066561s
www.t-act.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.193687s
www.taiiku.tsukuba.ac.jp,200,text/html,0.152857s
www.tech.tsukuba.ac.jp,200,text/html,0.087628s
www.ticonfms.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.456244s
www.xpercept.aclab.esys.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.226720s
www2.envr.tsukuba.ac.jp,200,text/html,0.073169s
wwwnucl.ph.tsukuba.ac.jp,200,text/html; charset=UTF-8,1.178116s
xaan.md.tsukuba.ac.jp,200,text/html,0.098161s
